cluster,status_value,total_rides,avg_fare,lat,long
0,0.318120805369,745,3.95734228188,30.2779129793,-97.7458430543
1,0.129032258065,93,2.58956989247,30.2333519373,-97.7571034472
2,0.505434782609,184,6.20913043478,30.3106760284,-97.7164871231
3,0.603351955307,358,7.86248603352,30.390498171,-97.7395084291
4,0.309523809524,126,5.1069047619,30.3167644936,-97.8406437932
