,lat,long,avg_fare,percent_fulfilled,requests
0,30.27791298,-97.74584305,13.90669811,0.318120805,745
1,30.23335194,-97.75710345,21.89363636,0.129032258,358
2,30.31067603,-97.71648712,12.69422222,0.505434783,184
3,30.39049817,-97.73950843,13.40366667,0.603351955,126
4,30.31676449,-97.84064379,16.93342105,0.30952381,93
